DataSpaceName,Status,ActivationId,ActivationName,entityName,Fieldname
,,,,,num_tel_unid_estr__c
,,85R4X000000L1byUAC,RENEG_PROMESSA_SAIDA,Promessas_Op_Recuperacao_Credito_Cli__dlm,dat_rfrc_gera_prom__c
,,,,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L1gjUAC,iti-CCreditoLembreteFatura,ssot__Individual__dlm,ssot__Id__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CADA__dlm,des_prmo_nom_clie__c
,,,,,ind_optout_email__c
,,,,,ind_optout_push__c
,,,,,ind_optout_sms__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CMPO__dlm,scor_prps_atrs_cuto__c
,,,,TBHF9ME_ITI_CLIE_DOMN_COBR_CTO_CRED__dlm,dat_rfrc__c
,,,,,num_cicl__c
,,,,,qtd_dia_atrs_clie__c
,,,,,vlr_ulti_fatu__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CONT__dlm,num_idt_cont_rdg__c
,,,,,vlr_sald_atul_cont__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CTO_CRED__dlm,dat_ulti_gera_bole_manu__c
,,,,,ind_pssu_debt_auta_crto_cred__c
,,85R4X000000L1iQUAS,RENEG_OPTIN_WHATS_BUPF,Aceite_Cliente_Comunica_o__dlm,num_tel_tnnt_rene__c
,,,,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L1OGUA0,NCC_CA0017247,Cadastro_Cartao_de_Credito__dlm,Chave_Produto__c
,,,,,id__c
,,,,informa_o_Cadastral_CHPRAS__dlm,Data_Abertura_Conta__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000L1r3UAC,CART_ALTARENDA_PERSON,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,ssot__Individual__dlm,dat_nasc_clie__c
,,,,,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000L1r8UAC,CART_ALTARENDA_UNICLASS,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,ssot__Individual__dlm,dat_nasc_clie__c
,,,,,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000L1RPUA0,ATIVACAO_BACEN_PRONTIDAO_2023,ssot__Individual__dlm,ssot__Id__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CADA__dlm,des_prmo_nom_clie__c
,,,,,ind_optout_email__c
,,,,,ind_optout_push__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CONT__dlm,cod_moti_alte_stat_novo__c
,,,,,dat_alte_stat_cont__c
,,,,,des_stat_cont__c
,,85R4X000000L1TaUAK,PF_CA0017357_INICIANTE_IAIU_SMS,ssot__Individual__dlm,GC_Universal__c
,,,,,ssot__Id__c
,,85R4X000000L1TbUAK,PF_CA0017357_EMERGENTE_IAIU_SMS,ssot__Individual__dlm,GC_Universal__c
,,,,,ssot__Id__c
,,85R4X000000L1TfUAK,PF_CA0017357_TRADICIONAL_IAIU_SMS,ssot__Individual__dlm,GC_Universal__c
,,,,,ssot__Id__c
,,85R4X000000L1TkUAK,PF_CA0017357_TRADICIONAL_IAIU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1TpUAK,PF_CA0017357_TRADICIONAL_IAIU_PUSH,ssot__Individual__dlm,GC_Universal__c
,,,,,ssot__Id__c
,,85R4X000000L1UJUA0,PF_CA0017380_IP_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1UKUA0,PF_CA0017380_5ANOS_IP_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1UOUA0,PF_CA0017380_1ANO_IP_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1UTUA0,PF_CA0017380_3ANOS_IP_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WeUAK,PF_CA0017103_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WfUAK,PF_CA0017103_3ANOS_NDIAS_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WgUAK,PF_CA0017103_5ANOS_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WjUAK,PF_CA0017103_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WoUAK,PF_CA0017103_1ANO_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WpUAK,PF_CA0017103_1ANO_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1WtUAK,PF_CA0017103_1ANO_NDIAS_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1X3UAK,PF_CA0017103_1ANO_NDIAS_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1X8UAK,PF_CA0017103_3ANOS_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1XDUA0,PF_CA0017103_3ANOS_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1XhUAK,PF_CA0017103_5ANOS_NDIAS_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1XIUA0,PF_CA0017103_3ANOS_NDIAS_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1XmUAK,PF_CA0017103_5ANOS_NDIAS_IU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1XrUAK,PJ_DESC_15_PCM,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
,,85R4X000000L1XwUAK,PJ_DESC_7_PCM,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
